+00412, -02287, +20433, +04082, -01809, -03847;
+00489, -02279, +20307, +04338, -01781, -03630;
+00743, -02350, +20292, +04498, -01737, -03352;
+00721, -01930, +20339, +04553, -01802, -03224;
+00715, -02278, +20557, +04751, -01824, -03195;
+00867, -02564, +20592, +05042, -01826, -03241;
+00986, -02632, +20580, +05477, -01833, -02922;
+01210, -02608, +20537, +06012, -01836, -02707;
+01266, -02359, +20395, +06197, -01813, -02520;
+01554, -02294, +20230, +06276, -01870, -02384;
+01629, -02446, +20167, +06217, -01911, -02263;
+01767, -02698, +19863, +06256, -01662, -02099;
+01918, -02640, +19838, +06431, -01317, -01781;
+02157, -02907, +19879, +06712, -01158, -01375;
+02200, -02832, +19948, +06871, -01362, -00799;
+02260, -02682, +19533, +06741, -01428, -00444;
+02271, -02643, +19199, +06982, -01222, -00309;
+02196, -03029, +19340, +07488, -01077, -00377;
+02033, -03514, +19469, +07863, -01247, -00440;
+01869, -03593, +19115, +07814, -01456, -00188;
+02163, -03724, +18562, +07851, -01447, +00150;
+02248, -03756, +18552, +07734, -01296, +00684;
+02265, -03592, +18437, +07588, -01021, +01139;
+02180, -03645, +18442, +07747, -00722, +01535;
+02204, -03806, +18493, +07987, -00596, +02218;
+02283, -03886, +18181, +08191, -00393, +02730;
+01984, -03683, +17873, +08227, -00118, +03091;
+01955, -03856, +17605, +08041, +00019, +03185;
+01753, -04157, +17576, +07830, +00014, +03316;
+01619, -04436, +17195, +07940, -00059, +03342;
+01475, -04781, +17141, +08072, +00010, +03368;
+01469, -04706, +16899, +07969, +00335, +03518;
+01422, -04823, +16817, +07837, +00754, +03827;
+01333, -04863, +16989, +07494, +01209, +04158;
+01229, -04594, +16865, +07196, +01696, +04475;
+01209, -04572, +16632, +07117, +02178, +04697;
+01114, -04807, +16574, +07015, +02380, +04817;
+01017, -04822, +16267, +06722, +02510, +04804;
+00976, -04823, +15716, +06676, +02623, +04850;
+00936, -05064, +15432, +06562, +03017, +04965;
+00816, -05209, +15373, +05965, +03343, +05301;
+00698, -05073, +15175, +05754, +03727, +05428;
+00680, -05071, +14919, +05305, +04172, +05719;
+00711, -04633, +14384, +04829, +04599, +06043;
+00807, -04754, +14159, +04184, +04933, +06292;
+00817, -04763, +13990, +03663, +05082, +06512;
+00824, -04770, +13697, +03087, +05102, +06636;
+00643, -04814, +13152, +02593, +05040, +06836;
+00630, -04764, +12686, +02293, +05004, +07068;
+00639, -04812, +12521, +01938, +04765, +07379;
+00512, -04684, +12379, +01468, +05022, +07641;
+00569, -04641, +12247, +01197, +05218, +07874;
+00179, -04783, +12253, +00496, +05092, +08178;
-00098, -04715, +12469, -00256, +05035, +08489;
-00286, -04740, +12349, -00634, +05182, +08417;
-00827, -05088, +12796, -01160, +05404, +08413;
-01461, -05458, +13026, -01537, +05629, +08237;
-01980, -05835, +13420, -01949, +05875, +07937;
-02346, -06076, +13812, -02421, +06010, +07541;
-02576, -06255, +13689, -02872, +06131, +07096;
-02703, -06458, +13674, -03556, +06219, +06749;
-02618, -06334, +13455, -03859, +06145, +06496;
-02563, -06292, +13577, -04035, +05842, +06370;
-02590, -06198, +13670, -04198, +05631, +06147;
-02657, -06010, +13828, -04301, +05730, +05852;
-02919, -06234, +14222, -04459, +05851, +05444;
-03194, -06506, +14783, -05012, +05989, +04943;
-03212, -06617, +14868, -05597, +05999, +04532;
-03060, -06786, +14718, -06282, +05725, +04319;
-02831, -06596, +14327, -06591, +05476, +04124;
-02584, -06269, +14127, -06621, +05347, +03659;
-02544, -06335, +14432, -06902, +05054, +03378;
-02533, -06352, +14596, -07111, +04736, +03126;
-02484, -06336, +14739, -07374, +04504, +02736;
-02395, -06219, +14699, -07719, +04357, +02377;
-02155, -06093, +14621, -08004, +03918, +02215;
-02168, -05970, +14618, -08305, +03498, +02074;
-01887, -05634, +14481, -08666, +03347, +01840;
-01788, -05417, +14624, -09141, +03237, +01827;
-01649, -05339, +14934, -09517, +03102, +01698;
-01739, -05023, +15296, -09712, +02880, +01268;
-01915, -05097, +15694, -09806, +02615, +00782;
-01989, -05336, +15797, -09917, +02237, +00496;
-02061, -05308, +15909, -10041, +01786, +00256;
-01955, -05059, +16087, -10384, +01525, +00077;
-01658, -04662, +15992, -10700, +01395, +00016;
-01542, -04454, +16166, -10686, +01318, -00061;
-01589, -04232, +16689, -10958, +00989, -00357;
-01673, -04118, +17325, -10317, +00610, -00570;
-01709, -04064, +17590, -10152, +00925, -01169;
-02037, -04296, +17674, -09736, +00494, -01408;
-01681, -03930, +17943, -09847, +00118, -01548;
-01725, -03649, +18908, -09876, -00063, -01769;
-01705, -03613, +19292, -09383, -00104, -02128;
-01835, -03593, +19894, -08843, -00196, -02529;
-01866, -03512, +20239, -08332, -00529, -02719;
-01692, -03530, +20543, -08144, -00758, -02873;
-01740, -03291, +20661, -08224, -00628, -03113;
-01585, -03033, +20578, -07862, -00538, -03304;
-01650, -03156, +21019, -07313, -00734, -03557;
-01780, -03297, +21440, -06698, -01237, -04022;
-01843, -03304, +21337, -06200, -01635, -04629;
-01923, -03376, +21108, -05666, -01802, -05151;
