+00145, -02359, +20424, -00259, -02621, -03412;
+00184, -02871, +20829, +00117, -03111, -03277;
+00519, -02619, +20600, +00509, -03743, -03005;
+00912, -02400, +20502, +00781, -03916, -02663;
+01195, -02326, +20732, +01105, -03829, -02446;
+01123, -02313, +21340, +01859, -04044, -02551;
+00917, -02335, +22005, +03163, -04173, -02605;
+01115, -02527, +22212, +04232, -03863, -02782;
+01265, -02361, +22461, +04514, -03018, -02956;
+01075, -02523, +22925, +04521, -01917, -02477;
+01024, -02828, +22972, +04016, -01047, -01505;
+01168, -02410, +23278, +03359, -00371, -00248;
+01808, -01874, +23465, +03189, -00475, +00777;
+02105, -01952, +23348, +03537, -00920, +01372;
+02684, -02203, +22975, +03945, -01698, +01516;
+02905, -02206, +22053, +04159, -02752, +01226;
+02840, -02640, +21486, +04660, -03580, +00759;
+02636, -03442, +21357, +05586, -04128, +00441;
+02188, -03864, +21502, +06500, -04109, +00240;
+02036, -03732, +21273, +07360, -03444, +00386;
+02205, -03389, +21196, +07541, -02029, +00999;
+02329, -02946, +21154, +07280, -00147, +02047;
+02710, -02663, +21429, +06347, +01963, +03176;
+02896, -02398, +21531, +05175, +04095, +04166;
+02975, -02246, +21202, +04092, +05646, +05114;
+03246, -02447, +20631, +03302, +06471, +06101;
+03755, -02525, +19694, +02698, +06059, +06603;
+04149, -02613, +18891, +03606, +04763, +06584;
+04139, -02853, +18217, +04140, +03014, +06411;
+04908, -02956, +17275, +05006, +01653, +06274;
+04848, -03185, +16670, +06051, +00591, +06412;
+04670, -03242, +16498, +07043, -00180, +06632;
+04500, -02796, +16630, +07164, -00611, +06582;
+04381, -02629, +17044, +06675, -00075, +06638;
+04322, -03090, +17391, +05905, +00847, +06911;
+04077, -03452, +17759, +05727, +01560, +07430;
+03532, -03251, +17963, +06519, +01619, +07761;
+03063, -02608, +17328, +06783, +01626, +08025;
+03134, -02182, +16334, +06481, +01301, +08287;
+03219, -02431, +15769, +06742, +00783, +08688;
+03487, -02912, +15334, +07311, +00321, +08996;
+03508, -02794, +14465, +07878, -00011, +09034;
+03498, -02677, +13853, +07836, +00275, +08848;
+03430, -03074, +13547, +07847, +00600, +08979;
+03088, -03572, +13248, +07932, +00995, +09083;
+02741, -03668, +13325, +07944, +01366, +09295;
+02447, -03309, +13289, +07597, +01719, +09337;
+02169, -02998, +13174, +06624, +02244, +09056;
+01930, -03040, +12899, +06384, +02359, +09056;
+01545, -04062, +13180, +05776, +02543, +08928;
+01218, -03871, +12664, +05072, +03005, +08872;
+01013, -03604, +12312, +04570, +03193, +08988;
+00488, -03837, +12347, +04263, +03815, +08718;
+00087, -04124, +13011, +04190, +04554, +08216;
-00388, -04281, +13219, +03928, +05103, +07902;
-00692, -04198, +12722, +03501, +05386, +07781;
-00730, -04007, +12464, +02857, +05519, +07751;
-00892, -03877, +12355, +02298, +05571, +07875;
-01022, -03577, +12310, +01707, +05684, +07881;
-01148, -03536, +12488, +01085, +05729, +07940;
-01379, -03365, +12419, +00651, +05797, +08016;
-01668, -03535, +12651, +00159, +06147, +07763;
-02060, -03920, +13029, -00312, +06731, +07151;
-02524, -04074, +13152, -00324, +07452, +06235;
-02914, -04502, +13297, -00746, +07965, +05527;
-03207, -04872, +13414, -01443, +08161, +04894;
-03420, -05069, +13799, -02397, +07892, +04397;
-03261, -05075, +13542, -03132, +06976, +04130;
-02738, -05011, +13215, -03671, +05634, +04350;
-02213, -04833, +13014, -03949, +04453, +04510;
-01958, -04428, +12992, -04073, +03766, +04085;
-02500, -04164, +12930, -04346, +03676, +03471;
-02843, -04454, +13153, -04498, +04095, +02682;
-03238, -05020, +13934, -04792, +04820, +01755;
